linha,latitude',longitude,pc_id,pc_sequencia
BEM X ARE,-22.1417383333,-43.0968633333,565,1
BEM X ARE,-22.23554,-43.1021766667,453,4
BEM X ARE,-22.1417383333,-43.0968633333,565,1
BEM X ARE,-22.1540966667,-43.098955,566,2
BEM X ARE,-22.2048366667,-43.0958466667,571,3
BEM X ARE,-22.23554,-43.1021766667,453,4
NIG X TRS,-22.75699,-43.45591,131,1
NIG X TRS,-22.64607,-43.7110383333,125,5
NIG X TRS,-22.7164183333,-43.7169533333,127,3
NIG X TRS,-22.75699,-43.45591,131,1
NIG X TRS,-22.74852,-43.4425966667,133,2
NIG X TRS,-22.7001333333,-43.751115,135,4
NIG X TRS,-22.6171183333,-43.7146933333,137,7
NIG X TRS,-22.3986483333,-43.6561583333,139,35
NIG X TRS,-22.39123,-43.6505166667,140,36
NIG X TRS,-22.33117,-43.54427,141,37
NIG X TRS,-22.325435,-43.535295,142,38
NIG X TRS,-22.3099283333,-43.5048116667,143,39
NIG X TRS,-22.2466683333,-43.426875,144,40
NIG X TRS,-22.6337883333,-43.71019,177,6
NIG X TRS,-22.1153966667,-43.1978466667,158,53
BMA X JDF COM AC,-22.5453933333,-44.1693483333,112,1
BMA X JDF COM AC,-22.0573933333,-43.2070533333,207,54
BMA X JDF COM AC,-22.4573883333,-43.8428516667,252,14
BMA X JDF COM AC,-22.4632066667,-43.826365,418,19
BMA X JDF COM AC,-21.738605,-43.3740583333,219,62
JDF x BMA S-DIR AC,-21.738605,-43.3740583333,219,1
JDF x BMA S-DIR AC,-22.1086416667,-43.2253,439,15
JDF x BMA S-DIR AC,-22.1049866667,-43.2163866667,440,14
JDF x BMA S-DIR AC,-22.1217033333,-43.2322666667,441,16
JDF x BMA S-DIR AC,-22.5453933333,-44.1693483333,112,65
JDF X TRS COM,-21.738605,-43.3740583333,219,1
JDF X TRS COM,-22.0339816667,-43.2191416667,231,20
JDF X TRS COM,-22.0573933333,-43.2070533333,232,21
JDF X TRS COM,-22.0844566667,-43.2174533333,233,22
JDF X TRS COM,-22.098955,-43.216145,234,23
JDF X TRS COM,-21.7913716667,-43.3052633333,478,5
JDF X TRS COM,-21.7783533333,-43.3250616667,479,4
JDF X TRS COM,-21.7616633333,-43.3405083333,481,2
JDF X TRS COM,-21.7731383333,-43.329445,482,3
JDF X TRS COM,-21.8393983333,-43.3171466667,484,6
JDF X TRS COM,-21.8597516667,-43.3094883333,485,7
JDF X TRS COM,-21.8757033333,-43.3221466667,486,8
JDF X TRS COM,-21.8831833333,-43.3287583333,487,9
JDF X TRS COM,-21.9112683333,-43.3396916667,488,10
JDF X TRS COM,-21.92641,-43.3185466667,489,11
JDF X TRS COM,-21.9340383333,-43.3138916667,490,12
JDF X TRS COM,-21.959745,-43.3184383333,491,13
JDF X TRS COM,-21.9693466667,-43.3145083333,492,14
JDF X TRS COM,-22.0148633333,-43.309765,493,15
JDF X TRS COM,-22.02111,-43.29674,531,17
JDF X TRS COM,-22.01346,-43.2694433333,532,18
JDF X TRS COM,-22.0100333333,-43.2646166667,533,19
JDF X TRS COM,-22.0189216667,-43.2957166667,535,16
JDF X TRS COM,-22.1153966667,-43.1978466667,158,25
